record identifier,issue_type,issue_detail,action_taken
stores | store_id: 1,DATA_NORMALIZATION,Field 'city' had value 'Sharjah-Emirate',Standardized
stores | store_id: 4,DATA_NORMALIZATION,Field 'city' had value 'abu dhabi',Standardized
stores | store_id: 5,DATA_NORMALIZATION,Field 'city' had value 'Abu-Dhabi',Standardized
stores | store_id: 7,DATA_NORMALIZATION,Field 'city' had value 'DUBAI',Standardized
stores | store_id: 8,DATA_NORMALIZATION,Field 'city' had value 'dubai',Standardized
stores | store_id: 10,DATA_NORMALIZATION,Field 'city' had value 'SHARJAH',Standardized
stores | store_id: 11,DATA_NORMALIZATION,Field 'city' had value 'dubai',Standardized
stores | store_id: 12,DATA_NORMALIZATION,Field 'city' had value 'Sharjah-Emirate',Standardized
stores | store_id: 13,DATA_NORMALIZATION,Field 'city' had value 'sharjah',Standardized
stores | store_id: 14,DATA_NORMALIZATION,Field 'city' had value 'Dubayy',Standardized
stores | store_id: 16,DATA_NORMALIZATION,Field 'city' had value 'dubai',Standardized
stores | store_id: 17,DATA_NORMALIZATION,Field 'city' had value 'SHARJAH',Standardized
stores | store_id: 1,DATA_NORMALIZATION,Field 'channel' had value 'MARKETPLACE',Standardized
stores | store_id: 2,DATA_NORMALIZATION,Field 'channel' had value 'WEB',Standardized
stores | store_id: 3,DATA_NORMALIZATION,Field 'channel' had value 'APP',Standardized
stores | store_id: 5,DATA_NORMALIZATION,Field 'channel' had value 'marketplace',Standardized
stores | store_id: 8,DATA_NORMALIZATION,Field 'channel' had value 'WEB',Standardized
stores | store_id: 9,DATA_NORMALIZATION,Field 'channel' had value 'APP',Standardized
stores | store_id: 10,DATA_NORMALIZATION,Field 'channel' had value 'APP',Standardized
stores | store_id: 13,DATA_NORMALIZATION,Field 'channel' had value 'web',Standardized
stores | store_id: 14,DATA_NORMALIZATION,Field 'channel' had value 'MARKETPLACE',Standardized
stores | store_id: 15,DATA_NORMALIZATION,Field 'channel' had value 'MARKETPLACE',Standardized
stores | store_id: 17,DATA_NORMALIZATION,Field 'channel' had value 'WEB',Standardized
stores | store_id: 18,DATA_NORMALIZATION,Field 'channel' had value 'APP',Standardized
stores | store_id: 11,DUPLICATE_ENTITY,Field 'store_id' had value '11',Merged into Store 9
stores | store_id: 18,DUPLICATE_ENTITY,Field 'store_id' had value '18',Merged into Store 9
stores | store_id: 14,DUPLICATE_ENTITY,Field 'store_id' had value '14',Merged into Store 7
stores | store_id: 15,DUPLICATE_ENTITY,Field 'store_id' had value '15',Merged into Store 7
stores | store_id: 16,DUPLICATE_ENTITY,Field 'store_id' had value '16',Merged into Store 8
stores | store_id: 10,DUPLICATE_ENTITY,Field 'store_id' had value '10',Merged into Store 3
stores | store_id: 12,DUPLICATE_ENTITY,Field 'store_id' had value '12',Merged into Store 1
stores | store_id: 13,DUPLICATE_ENTITY,Field 'store_id' had value '13',Merged into Store 2
stores | store_id: 17,DUPLICATE_ENTITY,Field 'store_id' had value '17',Merged into Store 2
products | product_id: 2,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 3,DATA_NORMALIZATION,Field 'category' had value 'Groceries',Standardized
products | product_id: 4,DATA_NORMALIZATION,Field 'category' had value 'HOME',Standardized
products | product_id: 5,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 7,DATA_NORMALIZATION,Field 'category' had value 'fashion',Standardized
products | product_id: 9,DATA_NORMALIZATION,Field 'category' had value 'home',Standardized
products | product_id: 10,DATA_NORMALIZATION,Field 'category' had value 'Beauty-Cosmetics',Standardized
products | product_id: 12,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 13,DATA_NORMALIZATION,Field 'category' had value 'grocery',Standardized
products | product_id: 14,DATA_NORMALIZATION,Field 'category' had value 'Home-Decor',Standardized
products | product_id: 15,DATA_NORMALIZATION,Field 'category' had value 'BEAUTY',Standardized
products | product_id: 16,DATA_NORMALIZATION,Field 'category' had value 'electronics',Standardized
products | product_id: 17,DATA_NORMALIZATION,Field 'category' had value 'FASHION',Standardized
products | product_id: 18,DATA_NORMALIZATION,Field 'category' had value 'GROCERY',Standardized
products | product_id: 21,DATA_NORMALIZATION,Field 'category' had value 'Elec-Gadgets',Standardized
