snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2026-01-10,132,15,200,73,11
2026-01-10,186,5,264,47,3
2026-01-10,223,2,211,33,6
2026-01-10,267,7,307,61,5
2026-01-10,140,7,306,30,2
2026-01-10,235,17,165,47,7
2026-01-10,200,7,93,28,7
2026-01-10,19,1,302,63,11
2026-01-10,295,6,458,22,8
2026-01-10,269,10,11,25,2
2026-01-10,50,18,229,22,9
2026-01-10,227,15,306,49,2
2026-01-10,38,11,370,51,5
2026-01-10,158,16,339,78,7
2026-01-10,275,16,243,56,5
2026-01-10,106,12,459,64,4
2026-01-10,233,3,229,79,3
2026-01-10,236,10,308,41,11
2026-01-10,122,13,327,68,5
2026-01-10,188,14,23,30,11
2026-01-10,252,6,103,55,7
2026-01-10,70,16,409,35,4
2026-01-10,78,12,345,22,11
2026-01-10,172,2,334,59,6
2026-01-10,32,13,310,56,7
2026-01-10,227,10,160,25,11
2026-01-10,92,1,301,52,11
2026-01-10,272,6,273,69,11
2026-01-10,231,3,302,23,5
2026-01-10,140,13,6,70,4
2026-01-10,41,18,435,41,9
2026-01-10,295,7,163,68,8
2026-01-10,99,6,90,58,4
2026-01-10,84,16,82,30,3
2026-01-10,102,13,145,23,9
2026-01-10,289,9,125,75,10
2026-01-10,151,7,328,69,3
2026-01-10,202,7,441,24,8
2026-01-10,238,6,318,68,2
2026-01-10,114,11,9999,60,4
2026-01-10,292,13,260,63,10
2026-01-10,169,13,185,74,11
2026-01-10,155,13,83,34,11
2026-01-10,284,5,405,36,8
2026-01-10,263,18,237,65,2
2026-01-10,258,6,70,69,7
2026-01-10,61,6,179,37,10
2026-01-10,46,8,144,45,10
2026-01-10,285,13,226,69,5
2026-01-10,224,14,249,46,9
2026-01-09,98,18,429,72,2
2026-01-09,111,8,125,58,5
2026-01-09,297,2,354,73,11
2026-01-09,162,2,249,42,9
2026-01-09,121,17,479,43,4
2026-01-09,258,16,326,40,13
2026-01-09,72,10,101,49,3
2026-01-09,129,3,288,64,8
2026-01-09,264,11,184,44,5
2026-01-09,64,8,392,26,5
2026-01-09,209,15,66,55,10
2026-01-09,183,10,400,47,8
2026-01-09,276,11,427,34,9
2026-01-09,252,10,462,50,9
2026-01-09,282,8,239,72,10
2026-01-09,5,10,284,53,8
2026-01-09,39,2,398,50,2
2026-01-09,24,16,429,42,5
2026-01-09,205,7,271,46,11
2026-01-09,201,16,154,39,5
2026-01-09,181,14,368,40,6
2026-01-09,206,17,107,30,9
2026-01-09,172,3,47,60,10
2026-01-09,247,15,17,34,8
2026-01-09,47,10,29,34,3
2026-01-09,295,5,257,32,4
2026-01-09,88,15,39,32,2
2026-01-09,180,16,171,71,3
2026-01-09,21,11,389,64,6
2026-01-09,187,7,137,66,11
2026-01-09,45,15,161,72,3
2026-01-09,164,1,32,36,11
2026-01-09,88,9,101,37,12
2026-01-09,254,4,419,26,10
2026-01-09,262,16,273,75,7
2026-01-09,230,4,265,78,7
2026-01-09,98,5,327,22,9
2026-01-09,23,16,14,39,4
2026-01-09,269,18,9999,43,13
2026-01-09,82,12,25,79,3
2026-01-09,60,9,403,64,6
2026-01-09,51,11,425,47,9
2026-01-09,251,18,120,39,4
2026-01-09,222,2,64,50,9
2026-01-09,264,8,120,40,8
2026-01-09,13,7,460,49,12
2026-01-09,171,11,457,59,11
2026-01-09,174,1,247,79,3
2026-01-09,173,14,423,58,13
2026-01-09,178,11,8,24,6
2026-01-08,55,1,120,45,8
2026-01-08,181,9,211,65,3
2026-01-08,95,6,83,55,10
2026-01-08,99,4,285,34,7
2026-01-08,295,6,129,64,7
2026-01-08,70,15,88,55,11
2026-01-08,253,3,18,69,7
2026-01-08,142,17,15,24,2
2026-01-08,237,3,296,30,6
2026-01-08,283,12,255,74,2
2026-01-08,78,9,229,73,2
2026-01-08,125,16,137,25,11
2026-01-08,129,11,7,20,11
2026-01-08,239,3,390,28,5
2026-01-08,68,18,492,24,5
2026-01-08,60,15,499,30,6
2026-01-08,84,14,4,61,5
2026-01-08,242,3,126,79,11
2026-01-08,165,6,5,54,13
2026-01-08,55,15,473,68,10
2026-01-08,13,7,399,34,6
2026-01-08,201,18,380,79,13
2026-01-08,283,7,462,37,9
2026-01-08,124,8,379,23,9
2026-01-08,45,2,440,32,8
2026-01-08,78,7,27,57,13
2026-01-08,47,7,490,70,2
2026-01-08,40,2,206,60,9
2026-01-08,285,8,37,21,3
2026-01-08,195,11,59,57,3
2026-01-08,115,8,98,32,8
2026-01-08,39,17,191,77,8
2026-01-08,64,16,227,62,8
2026-01-08,83,17,297,55,10
2026-01-08,50,9,164,77,9
2026-01-08,230,15,3,54,2
2026-01-08,43,14,304,55,10
2026-01-08,267,16,287,26,2
2026-01-08,254,9,38,31,2
2026-01-08,64,6,56,32,5
2026-01-08,8,8,108,22,5
2026-01-08,118,14,493,71,8
2026-01-08,42,15,365,41,6
2026-01-08,3,16,140,41,13
2026-01-08,58,6,299,26,6
2026-01-08,292,6,328,62,6
2026-01-08,202,9,24,70,2
2026-01-08,11,15,446,38,11
2026-01-08,173,3,184,37,11
2026-01-08,112,18,467,46,4
2026-01-07,237,5,293,55,9
2026-01-07,204,5,269,66,11
2026-01-07,219,15,467,69,13
2026-01-07,15,18,225,30,7
2026-01-07,67,5,438,46,7
2026-01-07,134,13,342,31,5
2026-01-07,181,1,450,43,3
2026-01-07,215,7,384,59,12
2026-01-07,54,15,302,49,2
2026-01-07,5,9,136,38,9
2026-01-07,89,16,462,55,10
2026-01-07,54,17,438,73,6
2026-01-07,157,11,250,59,4
2026-01-07,158,18,28,60,2
2026-01-07,224,5,50,43,12
2026-01-07,196,7,133,51,7
2026-01-07,102,14,74,36,13
2026-01-07,142,6,346,42,7
2026-01-07,93,5,235,78,8
2026-01-07,269,16,34,67,6
2026-01-07,108,3,381,56,9
2026-01-07,53,17,451,73,7
2026-01-07,214,4,403,53,10
2026-01-07,140,9,161,38,10
2026-01-07,273,1,307,40,10
2026-01-07,297,1,201,75,2
2026-01-07,37,15,157,55,8
2026-01-07,80,18,462,72,7
2026-01-07,4,4,452,47,4
2026-01-07,127,15,273,75,2
2026-01-07,278,3,316,75,8
2026-01-07,211,9,339,77,12
2026-01-07,128,2,419,77,12
2026-01-07,169,6,7,65,2
2026-01-07,20,15,51,39,13
2026-01-07,5,15,439,40,3
2026-01-07,139,13,405,41,3
2026-01-07,177,8,50,45,12
2026-01-07,4,6,225,74,11
2026-01-07,224,4,133,36,12
2026-01-07,161,8,230,60,9
2026-01-07,263,2,106,57,3
2026-01-07,21,9,471,63,5
2026-01-07,265,3,229,49,3
2026-01-07,232,2,145,65,10
2026-01-07,107,6,446,39,2
2026-01-07,130,13,230,57,2
2026-01-07,156,8,96,37,3
2026-01-07,30,11,496,48,6
2026-01-07,41,2,367,64,11
2026-01-06,119,7,191,77,8
2026-01-06,125,5,63,35,3
2026-01-06,229,18,69,53,13
2026-01-06,215,7,397,65,5
2026-01-06,251,12,28,47,3
2026-01-06,266,7,410,20,11
2026-01-06,21,15,372,64,5
2026-01-06,300,12,87,47,12
2026-01-06,116,3,405,36,10
2026-01-06,3,8,82,29,4
2026-01-06,151,8,152,59,3
2026-01-06,168,1,226,45,13
2026-01-06,191,14,360,28,6
2026-01-06,22,17,286,49,4
2026-01-06,226,16,124,37,13
2026-01-06,147,9,101,60,9
2026-01-06,296,4,174,66,10
2026-01-06,16,2,229,58,11
2026-01-06,104,14,152,45,2
2026-01-06,270,11,233,69,11
2026-01-06,26,17,54,54,4
2026-01-06,71,18,296,21,11
2026-01-06,241,13,258,69,4
2026-01-06,57,14,363,28,7
2026-01-06,70,10,321,70,8
2026-01-06,5,11,205,50,11
2026-01-06,167,3,131,39,7
2026-01-06,234,6,176,71,6
2026-01-06,239,13,360,26,7
2026-01-06,135,11,313,65,11
2026-01-06,119,13,335,58,2
2026-01-06,209,12,25,59,8
2026-01-06,151,6,80,71,13
2026-01-06,236,8,101,55,7
2026-01-06,23,10,67,41,5
2026-01-06,170,2,229,61,6
2026-01-06,225,17,182,45,5
2026-01-06,21,16,483,76,8
2026-01-06,29,5,95,36,8
2026-01-06,275,6,258,59,9
2026-01-06,193,13,133,65,4
2026-01-06,221,10,340,36,11
2026-01-06,27,4,49,55,7
2026-01-06,241,13,108,50,2
2026-01-06,209,1,248,61,2
2026-01-06,210,7,263,79,11
2026-01-06,258,6,71,68,7
2026-01-06,80,7,448,27,10
2026-01-06,30,5,400,60,2
2026-01-06,238,4,58,71,3
2026-01-05,260,10,471,30,13
2026-01-05,69,7,197,20,9
2026-01-05,229,4,140,79,2
2026-01-05,282,3,155,31,8
2026-01-05,78,15,494,40,3
2026-01-05,58,12,9999,40,2
2026-01-05,285,9,285,56,2
2026-01-05,18,2,54,49,5
2026-01-05,250,8,460,51,11
2026-01-05,213,14,18,42,13
2026-01-05,287,5,127,20,7
2026-01-05,104,15,332,30,10
2026-01-05,65,14,202,78,2
2026-01-05,290,10,91,63,8
2026-01-05,285,14,221,40,10
2026-01-05,106,12,45,77,6
2026-01-05,80,1,41,68,11
2026-01-05,73,3,447,22,4
2026-01-05,196,13,138,59,6
2026-01-05,152,8,14,34,10
2026-01-05,107,12,420,43,9
2026-01-05,139,17,174,49,4
2026-01-05,264,7,227,45,2
2026-01-05,241,13,9999,40,5
2026-01-05,228,9,187,49,9
2026-01-05,150,6,119,23,13
2026-01-05,2,13,385,77,13
2026-01-05,267,4,31,59,6
2026-01-05,81,3,373,20,11
2026-01-05,29,9,347,30,2
2026-01-05,8,3,182,56,4
2026-01-05,14,16,448,71,10
2026-01-05,199,18,406,28,2
2026-01-05,81,17,64,75,2
2026-01-05,249,13,486,24,13
2026-01-05,65,4,393,20,5
2026-01-05,70,16,224,79,11
2026-01-05,271,7,246,41,10
2026-01-05,207,18,247,67,5
2026-01-05,277,13,354,56,4
2026-01-05,167,18,108,29,10
2026-01-05,54,8,94,22,4
2026-01-05,46,3,415,49,8
2026-01-05,218,4,222,24,3
2026-01-05,94,2,302,39,9
2026-01-05,21,17,432,52,8
2026-01-05,151,12,409,47,8
2026-01-05,271,17,401,71,9
2026-01-05,143,8,484,44,11
