order_id,order_time,product_id,store_id,qty,selling_price_aed,discount_pct,payment_status,return_flag
1,2025-09-12 17:10:22,205,7,2,580.2,20.0,Paid,1
2,2025-09-12 17:10:34,84,14,4,223.91,15.0,Refunded,1
3,2025-09-12 17:12:26,97,1,0,613.13,15.0,Refunded,0
4,2025-09-12 17:15:43,85,12,1,35.88,15.0,Failed,1
5,2025-09-12 17:20:05,147,14,4,626.86,5.0,Paid,1
6,2025-09-12 17:21:59,68,12,3,641.66,15.0,Refunded,0
7,2025-09-12 17:29:48,253,7,2,523.39,5.0,Paid,0
8,2025-09-12 17:29:52,45,11,1,710.9,0.0,Failed,1
9,2025-09-12 17:30:38,108,15,2,458.1,20.0,Refunded,1
10,2025-09-12 17:39:59,144,10,0,321.15,15.0,Failed,0
11,2025-09-12 17:40:17,255,14,1,684.31,10.0,Paid,1
12,2025-09-12 17:44:05,218,16,3,68.8,10.0,Paid,1
13,2025-09-12 18:06:01,256,6,1,395.68,,Paid,0
14,2025-09-12 18:08:30,157,15,3,27.03,10.0,Refunded,0
15,2025-09-12 18:10:48,64,8,2,623.42,,Refunded,1
16,2025-09-12 18:11:52,25,1,3,419.8,5.0,Paid,0
17,2025-09-12 18:32:09,193,2,1,502.1,15.0,Refunded,0
18,2025-09-12 18:49:19,189,17,2,643.58,5.0,Paid,1
19,2025-09-12 18:50:27,291,10,2,316.81,15.0,Refunded,1
20,2025-09-12 18:54:50,30,7,3,45.73,0.0,Failed,0
21,2025-09-12 19:06:02,220,9,1,511.14,10.0,Failed,0
22,2025-09-12 19:12:31,55,12,1,162.14,15.0,Paid,0
23,2025-09-12 19:14:36,143,11,2,420.16,10.0,Failed,1
24,2025-09-12 19:21:09,294,1,1,66.43,5.0,Paid,0
25,2025-09-12 19:26:01,252,4,0,241.8,5.0,Paid,1
26,2025-09-12 19:36:29,239,16,0,54.64,20.0,Failed,1
27,2025-09-12 19:42:51,159,14,3,299.76,10.0,Refunded,0
28,2025-09-12 19:55:36,180,13,2,752.78,0.0,Paid,1
29,2025-09-12 19:55:58,107,9,1,446.29,15.0,Refunded,1
30,2025-09-12 19:57:55,275,7,3,421.04,0.0,Paid,0
31,2025-09-12 20:05:10,72,1,0,362.55,10.0,Failed,0
32,2025-09-12 20:07:17,98,14,2,250.05,10.0,Failed,0
33,2025-09-12 20:17:26,280,16,3,606.56,0.0,Refunded,1
34,2025-09-12 20:33:29,289,15,2,100.95,20.0,Paid,1
35,2025-09-12 20:51:58,22,8,3,31.59,15.0,Refunded,1
36,2025-09-12 20:53:25,264,4,2,337.71,0.0,Failed,0
37,2025-09-12 20:56:50,186,2,3,80.65,10.0,Failed,0
38,2025-09-12 20:57:29,90,4,3,637.52,15.0,Failed,1
